Entity,Year,cum_sum_regions,global_share_land_use_extent,foraging,extensive_agriculture,intensive_agriculture,pastoralism,urban,foraging_onset_date,foraging_decline_date,extensive_agriculture_onset,extensive_agriculture_decline,pastoralism_onset,pastoralism_decline,intensive_agriculture_onset,intensive_agriculture_decline,urban_onset,urban_decline
Intensive Agriculture,1850,,0.975261092,,,,,,,,,,,,,,,
Intensive Agriculture Common,-8000,0.301204819,,,,,,,,,,,,,,,,
Intensive Agriculture Common,-6000,0.301204819,,,,,,,,,,,,,,,,
Intensive Agriculture Common,-4000,2.7108433730000003,,,,,,,,,,,,,,,,
Intensive Agriculture Common,-2000,6.626506023999999,,,,,,,,,,,,,,,,
Intensive Agriculture Common,-1000,9.036144578,,,,,,,,,,,,,,,,
Intensive Agriculture Common,0,12.04819277,,,,,,,,,,,,,,,,
Intensive Agriculture Common,1000,16.86746988,,,,,,,,,,,,,,,,
Intensive Agriculture Common,1550,16.56626506,,,,,,,,,,,,,,,,
Intensive Agriculture Common,1800,18.37349398,,,,,,,,,,,,,,,,
Intensive Agriculture Common,1900,17.1686747,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,-8000,0.409836066,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,-6000,0.409836066,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,-4000,1.2295081970000001,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,-2000,2.459016393,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,-1000,5.7377049179999995,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,0,10.24590164,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,1000,13.52459016,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,1550,18.44262295,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,1800,20.49180328,,,,,,,,,,,,,,,,
Intensive Agriculture Widespread,1900,27.04918033,,,,,,,,,,,,,,,,
Iran,-8000,,,Widespread,Minimal,None,Common,Absent,,,,,,,,,,
Iran,-6000,,,Minimal,Minimal,Minimal,Widespread,Absent,,,,,,,,,,
Iran,-4000,,,Minimal,Common,Common,Common,Absent,,,,,,,,,,
Iran,-2000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iran,-1000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iran,0,,,Minimal,Common,Common,Widespread,Present,-8000.0,-8000.0,-4000.0,1900.0,-8000.0,1900.0,-4000.0,1900.0,-2000.0,1900.0
Iran,1000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iran,1500,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Iran,1750,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iran,1850,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iraq,-8000,,,Widespread,Minimal,Minimal,Minimal,Absent,,,,,,,,,,
Iraq,-6000,,,Common,Minimal,Minimal,Common,Absent,,,,,,,,,,
Iraq,-4000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Iraq,-2000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Iraq,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Iraq,0,,,Minimal,Common,Widespread,Widespread,Present,-8000.0,-6000.0,-4000.0,0.0,-6000.0,1900.0,-4000.0,1900.0,-4000.0,1900.0
Iraq,1000,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Iraq,1500,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Iraq,1750,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Iraq,1850,,,Minimal,Minimal,Widespread,Widespread,Present,,,,,,,,,,
Israel,-8000,,,Widespread,Common,Minimal,Minimal,Absent,,,,,,,,,,
Israel,-6000,,,Common,Common,Common,Common,Absent,,,,,,,,,,
Israel,-4000,,,Minimal,Common,Common,Widespread,Present,,,,,,,,,,
Israel,-2000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Israel,-1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
Israel,0,,,Minimal,Common,Widespread,Widespread,Present,-8000.0,-6000.0,-8000.0,1900.0,-6000.0,1900.0,-6000.0,1900.0,-4000.0,1900.0
Israel,1000,,,Minimal,Common,Widespread,Widespread,Present,,,,,,,,,,
